X,Y,OBJECTID,SCHOOL_ID,NAME,ADDRESS,COMMUNITY,CATEGORY,LOWEST_GRADE,HIGHEST_GRADE,LANGUAGE,SCHOOL_BOARD,WEBSITE,COMMENTS,LONGITUDE,LATITUDE
595821.644600000232458,4788000.4693,112,47,St. John the Baptist Elementary School,115 London Street South,Hamilton,Elementary School,Kindergarten,8,English,Hamilton-Wentworth Catholic District School Board,https://www.hwcdsb.ca/,,-79.81982095580007,43.23871617670367
590522.4375,4790735.508099999279,113,49,Strathcona Elementary School,10 Lamoreaux Street,Hamilton,Elementary School,Kindergarten,5,English,Hamilton-Wentworth District School Board,https://www.hwdsb.on.ca,,-79.88462640136545,43.2639943542759
594878.982099999673665,4787062.412499999627,114,50,Highview Elementary School,1040 Queensdale Avenue East,Hamilton,Elementary School,Kindergarten,8,English,Hamilton-Wentworth District School Board,https://www.hwdsb.on.ca,,-79.83159017420667,43.23039017576337
592865.354299999773502,4789496.0797,115,51,St. Patrick Elementary School,20 East Avenue South,Hamilton,Elementary School,Kindergarten,8,English,Hamilton-Wentworth Catholic District School Board,https://www.hwcdsb.ca/,,-79.85597264269532,43.25255082480752
593225.154099999927,4784307.774299999699,121,60,Lincoln Alexander Elementary School,50 Ravenbury Drive,Hamilton,Elementary School,Kindergarten,6,English,Hamilton-Wentworth District School Board,https://www.hwdsb.on.ca,,-79.852417826466,43.20579652806681
588457.8778,4789912.8383,122,67,Hamilton Hebrew Academy,60 Dow Avenue,Hamilton,Elementary School,Kindergarten,8,English,,http://www.hamiltonhebrewacademy.ca,,-79.9101924621762,43.2568330116916
595820.307300000451505,4783196.491299999878,125,71,Islamic School of Hamilton,1545 Stonechurch Road East,Hamilton,Elementary School,Kindergarten,8,French Immersion,,http://www.ishcanada.com,,-79.82067131590259,43.195466923898884
592766.050800000317395,4786146.4342,128,81,Our Lady of Lourdes Elementary School,420 Mohawk Road East,Hamilton,Elementary School,Kindergarten,8,English,Hamilton-Wentworth Catholic District School Board,https://www.hwcdsb.ca/,,-79.85775924618166,43.22240645493594
589776.400100000202656,4787985.267899999395,129,87,Hillfield-Strathallan College,299 Fennell Avenue West,Hamilton,Alternative Education,Kindergarten,12,English,,https://www.hsc.on.ca/page,,-79.89426510838796,43.239323161405444
592275.167000000365078,4783836.878699999303,131,95,St. Jean De Brebeuf Secondary School,200 Acadia Drive,Hamilton,Secondary School,9,12,English,Hamilton-Wentworth Catholic District School Board,https://www.hwcdsb.ca/,,-79.8641883670318,43.20167375269742
595549.057699999772012,4782856.9951,136,342,Arrell Youth Centre,320 Anchor Road,Hamilton,Section 23 Program,,,English,Hamilton-Wentworth District School Board,http://www.hwdsb.on.ca/altered/ctc-programs/,Custody,-79.82406778202034,43.19244484077872
600598.22,4787444.01,137,254,Parkway Learning Centre,140 Centennial Parkway North,Hamilton,Adult Learning,,,English,Hamilton-Wentworth District School Board,http://www.hwdsb.on.ca/cce/,,-79.76110535028754,43.233084602524706
599305.894000000320375,4788137.173599999398,138,190,Hillcrest Elementary School,40 Eastwood Street,Hamilton,Elementary School,Kindergarten,8,English,Hamilton-Wentworth District School Board,https://www.hwdsb.on.ca,,-79.77689229889981,43.239496155597514
595187.5948,4785208.48599999957,140,194,École secondaire Académie catholique Mère-Teresa,50 Lisgar Court,Hamilton,Secondary School,9,12,French,Conseil Scolaire Catholique MonAvenir,https://www.cscmonavenir.ca/,,-79.82811023579364,43.21366067318217
593373.285199999809265,4785410.5631,141,195,Lawfield Elementary School,45 Berko St,Hamilton,Elementary School,Kindergarten,8,French Immersion,Hamilton-Wentworth District School Board,https://www.hwdsb.on.ca,,-79.85040824533428,43.21570656782414
588195.964700000360608,4787746.8253,142,80,Holbrook Elementary School,450 Sanatorium Road,Hamilton,Elementary School,Kindergarten,6,English,Hamilton-Wentworth District School Board,https://www.hwdsb.on.ca,,-79.91376528559667,43.23736292004031
589097.208200000226498,4786664.90499999933,143,197,Living Hope Christian School,1045 Garth Street,Hamilton,Alternative Education,Kindergarten,,,,http://www.findhope.tv,,-79.90284218763145,43.2275163902402
590509.997999999672174,4786172.69099999964,144,200,New Testament Academy,21 Jameston Avenue,Hamilton,Alternative Education,Kindergarten,12,English,,http://www.ntbch.ca/academy/academy/,,-79.88552880143764,43.22291681409803
595497.176099999807775,4786647.44319999963,145,201,École élémentaire Pavillon de la jeunesse,105 High Street,Hamilton,Elementary School,Kindergarten,6,French,Conseil Scolaire Viamonde,https://csviamonde.ca,,-79.82405067534191,43.22657627724213
589676.144999999552965,4786640.5632,147,204,Westmount Secondary School,39 Montcalm Drive,Hamilton,Secondary School,9,12,English,Hamilton-Wentworth District School Board,https://www.hwdsb.on.ca,,-79.89571831458099,43.227228650519145
589780.884999999776483,4786454.103,148,205,Westview Elementary School,60 Rolston Drive,Hamilton,Middle School,6,8,English,Hamilton-Wentworth District School Board,https://www.hwdsb.on.ca,,-79.89445911145728,43.22553748301088
593585.6425,4783314.115399999544,150,210,Templemead Elementary School,62 Templemead Drive,Hamilton,Elementary School,Kindergarten,8,English,Hamilton-Wentworth District School Board,https://www.hwdsb.on.ca,,-79.84814949188434,43.19680607246401
593639.582799999975,4790031.543299999088,152,214,Cathy Wever Elementary School,160 Wentworth Street North,Hamilton,Elementary School,Kindergarten,8,English,Hamilton-Wentworth District School Board,https://www.hwdsb.on.ca,,-79.84634564253302,43.257275752513
591787.694699999876,4789312.616299999878,153,244,St. Charles Adult Education,45 Young Street,Hamilton,Adult Learning,,,English,Hamilton-Wentworth Catholic District School Board,http://www.stcharles.ca/,,-79.8692765621014,43.25103110427302
591450.318099999800324,4787872.23,154,246,St. Charles Adult Education,150 East 5th Street,Hamilton,Adult Learning,,,English,Hamilton-Wentworth Catholic District School Board,http://www.stcharles.ca/,,-79.87367084429468,43.238104365047015
592218.403699999675155,4786781.3889,155,266,Hill Park Learning Centre,465 East 16th Street,Hamilton,Alternative Education,9,12,English,Hamilton-Wentworth District School Board,http://www.hwdsb.on.ca/cce/,,-79.8643950754449,43.22819005275928
600930.087399999611,4787487.5502,157,248,St. Charles Adult Education,60 Barlake Avenue,Hamilton,Adult Learning,,,English,Hamilton-Wentworth Catholic District School Board,http://www.stcharles.ca/,,-79.75701128651512,43.23343224741278
591820.589999999850988,4790134.35,158,250,City Centre Learning Centre,"77 James Street North, 3rd Level",Hamilton,Adult Learning,,,English,Hamilton-Wentworth District School Board,http://www.hwdsb.on.ca/cce/,,-79.86873445523906,43.258425109347094
595169.285199999809265,4785083.661499999464,159,320,St. Anthony Daniel Elementary School,75 Anson Avenue,Hamilton,Elementary School,Kindergarten,8,English,Hamilton-Wentworth Catholic District School Board,https://www.hwcdsb.ca/,,-79.82835712176335,43.21253920335894
591471.833499999716878,4790098.6818,164,333,College Boreal,120 King Street W,Hamilton,Post Secondary,,,,,https://www.hwdsb.on.ca,,-79.87303637762446,43.25814639936943
587717.745500000193715,4790458.3768,165,334,McMaster University,1280 Main Street W,Hamilton,Post Secondary,,,,,https://www.hwdsb.on.ca,,-79.91922247022977,43.26183103722398
590462.446000000461936,4787844.3613,166,335,Mohawk College - Fennell Campus,135 Fennell Ave W ,Hamilton,Post Secondary,,,,,https://www.hwdsb.on.ca,,-79.88584007268457,43.237972599556436
596662.5,4787173.6743,167,336,Brock University,1842 King Street E,Hamilton,Post Secondary,,,,,https://www.hwdsb.on.ca,,-79.80961172731921,43.2311654290628
592230.885099999606609,4786767.7597,170,359,SAL Outreach,465 East 16th Street,Hamilton,Alternative Education,,,English,Hamilton-Wentworth District School Board,https://www.hwdsb.on.ca,,-79.86424368386018,43.22806582394181
591696.974799999967,4789632.392699999735,172,240,James Street School,100 James St. South,Hamilton,Alternative Education,9,12,English,Hamilton-Wentworth District School Board,https://www.hwdsb.on.ca,,-79.87034070215371,43.25392107172357
591943.873800000175834,4790446.496099999174,173,340,Nu Steel Centre 3,173 James Street N,Hamilton,Alternative Education,9,12,English,Hamilton-Wentworth District School Board,https://www.hwdsb.on.ca,,-79.86716373587659,43.261220304932245
595874.606700000353158,4788528.6688,174,341,SHAE School,34 Ottawa Street North,Hamilton,Alternative Education,9,12,English,Hamilton-Wentworth District School Board,https://www.hwdsb.on.ca,,-79.81907693675963,43.24346471706852
592528.497899999842048,4789792.5961,175,297,Gateway Alt Ed Centre King William,225 King William Street,Hamilton,Alternative Education,9,12,English,Hamilton-Wentworth District School Board,https://www.hwdsb.on.ca,,-79.86007184235233,43.25526175617247
591977.549200000241399,4783907.5491,177,319,St. John Paul II Elementary School,600 Acadia Drive,Hamilton,Elementary School,Kindergarten,8,English,Hamilton-Wentworth Catholic District School Board,https://www.hwcdsb.ca/,,-79.86783926506592,43.202346307116194
594086.782599999569356,4786736.6212,182,170,Blessed Sacrament Elementary School,315 East 37th Street,Hamilton,Elementary School,Kindergarten,8,English,Hamilton-Wentworth Catholic District School Board,https://www.hwcdsb.ca/,,-79.841399502283,43.22755633007822
594202.800699999555945,4788949.085599999875,183,317,Wilma's Place Alternative Education Centre,770 Main Street East,Hamilton,Alternative Education,9,12,English,Hamilton-Wentworth Catholic District School Board,https://www.hwcdsb.ca/,,-79.83959316169508,43.247460373499074
592952.570000000298023,4784533.0873,184,199,Saint Teresa of Calcutta Elementary School,1 Rexford Drive,Hamilton,Elementary School,Kindergarten,8,English,Hamilton-Wentworth Catholic District School Board,https://www.hwcdsb.ca/,,-79.85573470243027,43.20785861935258
589078.806099999696016,4790707.5667,186,322,Cootes Paradise Elementary School,900 King Street West,Hamilton,Elementary School,Kindergarten,6,French Immersion,Hamilton-Wentworth District School Board,https://www.hwdsb.on.ca,,-79.9024154196358,43.263914841099094
587672.276700000278652,4786166.791699999943,188,8,Gordon Price Elementary School,11 Guildwood Drive,Hamilton,Elementary School,Kindergarten,8,English,Hamilton-Wentworth District School Board,https://www.hwdsb.on.ca,,-79.92046509786861,43.22319873632873
595241.498100000433624,4785995.016599999741,189,83,Huntington Park Elementary School,80 Kingslea Drive,Hamilton,Elementary School,Kindergarten,8,English,Hamilton-Wentworth District School Board,https://www.hwdsb.on.ca,,-79.8273110434352,43.22073489741788
